id,country_name,region,flight
454,Kenya,Africa,< 3h
455,Seychelles,Africa,< 3h
456,Madagascar,Africa,< 3h
457,South Africa,Africa,< 3h
458,Morocco,Africa,< 3h
459,China,Africa,> 10h
460,India,Africa,6 to 10h
461,Nepal,Africa,> 10h
462,Thailand,Africa,6 to 10h
463,Vietnam,Africa,6 to 10h
464,Australia,Africa,6 to 10h
465,New Zealand,Africa,6 to 10h
466,Japan,Africa,6 to 10h
467,Indonesia,Africa,6 to 10h
468,Cambodia,Africa,6 to 10h
469,Netherlands,Africa,6 to 10h
470,Finland,Africa,6 to 10h
471,Norway,Africa,6 to 10h
472,Sweden,Africa,6 to 10h
473,Croatia,Africa,6 to 10h
474,USA,Asia,> 10h
475,Canada,Asia,> 10h
476,Mexico,Asia,> 10h
477,Brazil,Asia,> 10h
478,Argentina,Asia,> 10h
479,Dominican Republic,Asia,> 10h
480,Peru,Asia,> 10h
481,Cuba,Asia,> 10h
482,Iceland,Asia,6 to 10h
483,"UK, Ireland",Asia,6 to 10h
484,Denmark,Asia,6 to 10h
485,France,Asia,6 to 10h
486,Spain,Asia,6 to 10h
487,Portugal,Asia,6 to 10h
488,Italy,Asia,6 to 10h
489,Greece,Asia,6 to 10h
490,Czech Republic,Asia,6 to 10h
491,Belgium,Asia,6 to 10h
492,Turkey,Asia,6 to 10h
493,Jordan,Asia,6 to 10h
494,U.A.E,Asia,6 to 10h
495,Egypt,Asia,6 to 10h
496,Tanzania,Asia,> 10h
497,Kenya,Asia,> 10h
498,Seychelles,Asia,> 10h
499,Madagascar,Asia,> 10h
500,South Africa,Asia,> 10h
501,Morocco,Asia,> 10h
502,China,Asia,< 3h
503,India,Asia,< 3h
504,Nepal,Asia,< 3h
505,Thailand,Asia,3 to 6h
506,Vietnam,Asia,3 to 6h
507,Australia,Asia,3 to 6h
508,New Zealand,Asia,3 to 6h
509,Japan,Asia,3 to 6h
510,Indonesia,Asia,3 to 6h
511,Cambodia,Asia,3 to 6h
512,Netherlands,Asia,6 to 10h
513,Finland,Asia,6 to 10h
514,Norway,Asia,6 to 10h
515,Sweden,Asia,6 to 10h
516,Croatia,Asia,6 to 10h
517,USA,South-east Asia,> 10h
518,Canada,South-east Asia,> 10h
519,Mexico,South-east Asia,> 10h
520,Brazil,South-east Asia,> 10h
521,Argentina,South-east Asia,> 10h
522,Dominican Republic,South-east Asia,> 10h
523,Peru,South-east Asia,> 10h
524,Cuba,South-east Asia,> 10h
525,Iceland,South-east Asia,> 10h
526,"UK, Ireland",South-east Asia,> 10h
527,Denmark,South-east Asia,> 10h
528,France,South-east Asia,> 10h
529,Spain,South-east Asia,> 10h
530,Portugal,South-east Asia,> 10h
531,Italy,South-east Asia,> 10h
532,Greece,South-east Asia,> 10h
533,Czech Republic,South-east Asia,> 10h
534,Belgium,South-east Asia,> 10h
535,Turkey,South-east Asia,6 to 10h
536,Jordan,South-east Asia,6 to 10h
537,U.A.E,South-east Asia,6 to 10h
538,Egypt,South-east Asia,6 to 10h
539,Tanzania,South-east Asia,6 to 10h
540,Kenya,South-east Asia,6 to 10h
541,Seychelles,South-east Asia,6 to 10h
542,Madagascar,South-east Asia,6 to 10h
543,South Africa,South-east Asia,6 to 10h
544,Morocco,South-east Asia,6 to 10h
545,China,South-east Asia,3 to 6h
546,India,South-east Asia,3 to 6h
547,Nepal,South-east Asia,3 to 6h
548,Thailand,South-east Asia,< 3h
549,Vietnam,South-east Asia,< 3h
550,Australia,South-east Asia,> 10h
551,New Zealand,South-east Asia,> 10h
552,Japan,South-east Asia,< 3h
553,Indonesia,South-east Asia,< 3h
554,Cambodia,South-east Asia,< 3h
555,Netherlands,South-east Asia,> 10h
556,Finland,South-east Asia,> 10h
557,Norway,South-east Asia,> 10h
558,Sweden,South-east Asia,> 10h
559,Croatia,South-east Asia,> 10h
560,USA,ANZ,> 10h
561,Canada,ANZ,> 10h
562,Mexico,ANZ,> 10h
563,Brazil,ANZ,> 10h
564,Argentina,ANZ,> 10h
565,Dominican Republic,ANZ,> 10h
566,Peru,ANZ,> 10h
567,Cuba,ANZ,> 10h
568,Iceland,ANZ,> 10h
569,"UK, Ireland",ANZ,> 10h
570,Denmark,ANZ,> 10h
